GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-project-3,default,SmellyClass1,48,0,4,0,12,0,4,0,2,0
test-project-3,default,FixedClass2,0,7,0,0,0,3,0,2,0,2
test-project-3,default,FixedClass1,0,54,0,4,0,14,0,4,0,2
test-project-3,default,SmellyClass2,7,0,0,0,3,0,2,0,2,0
